"","Habitat","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"1","shrub",0.132494349214032,0.352770083821154,0.12374581756157,-0.0739459552932651,0.290545170755481,0.364491126048746,-0.620682644366384,-1.59706622745204,0.8372818598286,0.997571275406655
"2","generalist",-0.259363704209245,0.441334370175666,-0.214194600306318,-0.365282120828288,-0.0123208940222344,0.352961226806053,-0.894723961037368,-5.05027424694826,0.517120946186846,0.399105021013935
"3","deciduous",-0.538606801218832,0.548121085702373,-0.414036858301014,-0.710337558145909,-0.169095651540338,0.54124190660557,-1.52220041805426,-3.39910400728641,0.642767208368018,0.481712607031935
"4","conifer",0.0458149789071095,0.285447137380554,0.00860102999305966,-0.114796808951815,0.173871487319695,0.288668296271509,-0.547799253359079,-2.80605002525882,0.606873931726959,0.983245708450236
"5","mixedwood",-0.354654001504572,0.326821355769813,-0.26600595329442,-0.461732369993515,-0.143427562626091,0.318304807367424,-0.939189581044651,-2.40863034825009,0.334029648425045,0.249897342789093
"6","grassland",-0.114938630309717,0.294615571332295,-0.0692170455871778,-0.22628374314153,0.0626330144318356,0.288916757573365,-0.659658879501578,-2.31259674168393,0.496008150791884,0.515566022113241
"7","wetland",-0.148437048597907,0.349152117657548,-0.0918777324998203,-0.300825446464841,0.080237571479464,0.381063017944305,-0.872419973381297,-2.10325826525563,0.651832098395921,0.576494338459081
